0	3.5	0	5.1	0	0	0	0	0	0	0	9.1	0	0	0	2.1
3.5	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3.3	0	0	0	0	5.6	0	0	0	0	0	0	0	0	5.3
5.1	0	0	0	6.5	0	0	0	0	0	0	0	5	0	0	4.6
0	0	0	6.5	0	1.7	0	0	0	8.3	0	5.6	0	0	0	4.5
0	0	0	0	1.7	0	1.1	0	0	0	0	0	0	0	0	0
0	0	5.6	0	0	1.1	0	4.4	0	0	0	0	0	0	0	0
0	0	0	0	0	0	4.4	0	5.5	6.9	0	0	0	0	0	0
0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	7.8	0
0	0	0	0	8.3	0	0	6.9	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
9.1	0	0	0	5.6	0	0	0	0	0	3	0	0	1.5	0	0
0	0	0	5	0	0	0	0	0	0	0	0	0	2.7	0	0
0	0	0	0	0	0	0	0	0	0	0	1.5	2.7	0	3.9	0
0	0	0	0	0	0	0	0	7.8	0	0	0	0	3.9	0	0
2.1	0	5.3	4.6	4.5	0	0	0	0	0	0	0	0	0	0	0
